日期,累计确诊,新增确诊,累计治愈,累计死亡,国家
2020/3/17,62,0,1,0,南非
2020/3/17,234,34,0,1,巴西
2020/3/17,114,21,8,0,俄罗斯
2020/3/17,880,45,135,29,日本
2020/3/18,10082,2810,135,26,德国
2020/3/18,6522,1835,106,116,美国
2020/3/18,8413,93,1540,91,韩国
2020/3/18,13716,2538,1081,558,西班牙
2020/3/18,17361,1192,5710,1135,伊朗
2020/3/18,31506,3526,2941,2503,意大利
2020/3/18,80928,34,70420,3245,中国
2020/3/18,151,14,13,3,印度
2020/3/18,116,54,1,0,南非
2020/3/18,291,57,0,1,巴西
2020/3/18,147,33,8,0,俄罗斯
2020/3/18,919,84,135,31,日本
2020/3/19,13944,3862,135,43,德国
2020/3/19,10259,3737,106,152,美国
2020/3/19,8565,152,1947,92,韩国
2020/3/19,17147,3431,1081,767,西班牙
2020/3/19,18407,1046,5979,1284,伊朗
2020/3/19,36455,4949,4025,2978,意大利
2020/3/19,80967,39,71150,3248,中国
2020/3/19,173,22,13,4,印度
2020/3/19,116,0,1,0,南非
2020/3/19,514,223,0,4,巴西
2020/3/19,199,85,8,1,俄罗斯
2020/3/19,956,73,135,33,日本
2020/3/20,17653,3709,115,44,德国
2020/3/20,14365,4106,125,212,美国
2020/3/20,8652,87,2233,100,韩国
2020/3/20,17147,0,1081,767,西班牙
2020/3/20,19644,1237,6745,1433,伊朗
2020/3/20,81008,41,71740,3255,中国
2020/3/20,41035,4580,4440,3405,意大利
2020/3/20,223,40,20,5,印度
2020/3/20,202,86,1,0,南非
2020/3/20,647,133,0,4,巴西
2020/3/20,253,54,8,1,俄罗斯
2020/3/20,1016,97,135,35,日本
2020/3/21,20099,2446,180,70,德国
2020/3/21,8799,147,2612,102,韩国
2020/3/21,20176,5811,147,277,美国
2020/3/21,25374,8227,2125,1375,西班牙
2020/3/21,20610,966,7635,1556,伊朗
2020/3/21,81054,46,72244,3261,中国
2020/3/21,47021,5986,5129,4032,意大利
2020/3/21,283,60,23,5,印度
2020/3/21,240,38,1,0,南非
2020/3/21,970,323,2,11,巴西
2020/3/21,306,53,16,1,俄罗斯
2020/3/21,1054,135,135,36,日本
2020/3/22,23921,3822,266,92,德国
2020/3/22,8897,98,2909,104,韩国
2020/3/22,26856,6680,178,346,美国
2020/3/22,21638,1028,7913,1685,伊朗
2020/3/22,28572,3198,2575,1720,西班牙
2020/3/22,81093,39,72703,3270,中国
2020/3/22,53578,6557,6072,4825,意大利
2020/3/22,341,58,23,6,印度
2020/3/22,240,0,0,0,南非
2020/3/22,1128,158,2,18,巴西
2020/3/22,367,367,16,1,俄罗斯
2020/3/22,1101,47,232,41,日本
2020/3/23,27181,3260,422,113,德国
2020/3/23,8961,64,3166,111,韩国
2020/3/23,35224,8368,178,471,美国
2020/3/23,23049,1411,8376,1812,伊朗
2020/3/23,33089,4517,2575,2182,西班牙
2020/3/23,81171,78,73159,3277,中国
2020/3/23,59138,5560,7024,5476,意大利
2020/3/23,425,84,24,8,印度
2020/3/23,402,162,1,0,南非
2020/3/23,1546,418,2,25,巴西
2020/3/23,438,71,17,1,俄罗斯
2020/3/23,1140,39,285,42,日本
2020/3/24,31370,4189,453,132,德国
2020/3/24,9037,76,3507,120,韩国
2020/3/24,46443,11219,314,586,美国
