126.14908,,,,,,
126.923225,,,,,,
127.718895,,,,,,
128.4365,,,,,,
128.87611,,,,,,
128.9973,,,,,,
128.77347,,,,,,
128.86562,,,,,,
129.47292,,,,,,
130.62508,,,,,,
132.06064,,,,,,
133.00206,,,,,,
132.95882,,,,,,
132.79329,,,,,,
133.11234,,,,,,
133.31279,,,,,,
133.15448,,,,,,
133.11176,,,,,,
133.39424,,,,,,
134.26472,,,,,,
135.22397,,,,,,
135.98514,,,,,,
136.27255,,,,,,
136.04189,,,,,,
135.52284,,,,,,
135.15213,,,,,,
135.07065,,,,,,
135.21236,,,,,,
135.9542,,,,,,
136.54424,,,,,,
136.94136,,,,,,
137.53654,,,,,,
138.12228,,,,,,
138.62277,,,,,,
138.83055,,,,,,
138.8457,,,,,,
138.83662,,,,,,
138.89381,,,,,,
139.13289,,,,,,
139.73196,,,,,,
140.36292,,,,,,
140.94145,,,,,,
141.30116,,,,,,
141.65091,,,,,,
142.00818,,,,,,
142.11584,,,,,,
142.37338,,,,,,
141.9548,,,,,,
141.47803,,,,,,
141.46217,,,,,,
141.54964,,,,,,
141.88617,,,,,,
142.74258,,,,,,
143.8079,,,,,,
144.56467,,,,,,
144.74153,,,,,,
144.52232,,,,,,
144.3306,,,,,,
144.26866,,,,,,
144.0662,,,,,,
143.73659,,,,,,
143.41391,,,,,,
142.95773,,,,,,
142.50514,,,,,,
142.26524,,,,,,
142.63672,,,,,,
143.33702,,,,,,
144.32907,,,,,,
145.43983,,,,,,
146.5252,,,,,,
147.46849,,,,,,
148.38701,,,,,,
148.92906,,,,,,
149.8194,,,,,,
151.44885,,,,,,
153.47069,,,,,,
155.01465,,,,,,
154.6428,,,,,,
153.63959,,,,,,
152.80719,,,,,,
152.7175,,,,,,
152.7837,,,,,,
152.81778,,,,,,
152.88362,,,,,,
152.94246,,,,,,
152.98167,,,,,,
152.4107,,,,,,
150.6993,,,,,,
149.90584,,,,,,
150.21172,,,,,,
151.04271,,,,,,
151.71313,,,,,,
152.47264,,,,,,
153.68002,,,,,,
154.69101,,,,,,
155.31111,,,,,,
155.22641,,,,,,
154.7971,,,,,,
154.96208,,,,,,
155.48738,,,,,,
155.88525,,,,,,
156.2561,,,,,,
156.76665,,,,,,
155.24434,,,,,,
153.42435,,,,,,
152.82314,,,,,,
152.26416,,,,,,
152.13483,,,,,,
153.02574,,,,,,
154.61179,,,,,,
155.74486,,,,,,
156.23123,,,,,,
156.15761,,,,,,
156.9251,,,,,,
157.0716,,,,,,
155.92577,,,,,,
154.87222,,,,,,
154.42477,,,,,,
154.43178,,,,,,
153.80981,,,,,,
152.8888,,,,,,
152.31033,,,,,,
152.92935,,,,,,
154.60973,,,,,,
157.13086,,,,,,
159.85107,,,,,,
162.00597,,,,,,
163.00723,,,,,,
162.82434,,,,,,
163.478,,,,,,
165.10825,,,,,,
166.31226,,,,,,
166.79,,,,,,
166.94727,,,,,,
167.4061,,,,,,
171.1815,,,,,,
173.36293,,,,,,
174.10153,,,,,,
173.35773,,,,,,
172.5382,,,,,,
171.9466,,,,,,
171.65215,,,,,,
172.04546,,,,,,
173.44543,,,,,,
174.06593,,,,,,
173.85292,,,,,,
172.67181,,,,,,
172.36058,,,,,,
